Title,Category,Author(s),Status,Wiki Page,Scan Depth,In-Wiki Citations,Year,Tier,Format,URL
Agglomeration Economies and a Test for Optimal City Sizes in Japan,Academic Paper,Yoshitsugu Kanemoto; Toru Ohkawara; Tsutomu Suzuki,Scanned,https://www.progress.org/wiki/kanemoto-ohkawara-suzuki-optimal-city-size/,Heavy,1,1996,important,Paper,https://doi.org/10.1006/jjie.1996.0022
"Aggregate Land Rents, Expenditure on Public Goods, and Optimal City Size",Academic/Research,Richard Arnott; Joseph Stiglitz,Scanned,https://www.progress.org/wiki/arnott-stiglitz-henry-george-theorem/,Medium,11,1979,core,Paper,https://cooperative-individualism.org/arnott-richard-and-joseph-stiglitz_aggregate-land-rents-1979-nov.pdf
Agrarian Justice,Historical Text,Thomas Paine,Scanned,https://www.progress.org/wiki/agrarian-justice/,Heavy,3,1797,important,Text,https://www.gutenberg.org/ebooks/31271
Alaska Permanent Fund (Today in Energy),Government/Official,US Energy Information Administration,Referenced,https://www.progress.org/wiki/barnes-sky-trust/,Light,1,2015,supplementary,Article,https://www.eia.gov/todayinenergy/detail.php?id=21052
Alaska's Permanent Fund Dividend: Examining Its Suitability as a Model,Modern Book,Karl Widerquist; Michael W. Howard (eds.),Scanned,https://www.progress.org/wiki/widerquist-howard-pfd/,Medium,1,2012,important,Book,https://link.springer.com/book/10.1057/9781137015020
Allowances for Corporate Equity in Practice,Academic Paper,Alexander Klemm,Referenced,https://www.progress.org/wiki/allowance-for-corporate-equity/,Light,1,2007,supplementary,Paper,https://www.imf.org/external/pubs/ft/wp/2006/wp06259.pdf
An Award for Calling the Crash,Academic Paper,Mason Gaffney,Scanned,,Light,1,2011,supplementary,Paper,https://econjwatch.org/articles/an-award-for-calling-the-crash
An Entrepreneurial Critique of Georgism,Academic Paper,Zachary Gochenour; Bryan Caplan,Scanned,https://www.progress.org/wiki/gochenour-caplan-search-theoretic/,Heavy,2,2013,important,Paper,https://doi.org/10.1007/s11138-013-0218-8
Announcing The Progress and Poverty Institute: A New Name a Continuing Mission,Website/Org,Progress and Poverty Institute,Referenced,https://www.progress.org/wiki/progress-and-poverty-institute/,Light,1,2025,supplementary,Article,https://progressandpovertyinstitute.org/announcing-the-progress-and-poverty-institute-a-new-name-a-continuing-mission/
Arbitrary Lines: How Zoning Broke the American City,Modern Book,M. Nolan Gray,Not scanned,,—,0,2022,Supplementary,Book,https://islandpress.org/books/arbitrary-lines
Assessing the Distributional Impacts of a Land Value Tax,Online Writing,,Scanned,https://www.progress.org/wiki/cwc-distributional-impacts-lvt/,Medium,0,2024,Supplementary,Report,https://commonwealth.ca/research/distributional-impacts
Assessing the Distributive Impact of a Revenue-Neutral Shift from a Uniform Property Tax to a Two-Rate Property Tax with a Uniform Credit,Academic Paper,Richard W. England; Min Qiang Zhao,Scanned,https://www.progress.org/wiki/england-zhao-lvt-distribution/,Medium,1,2005,important,Paper,https://doi.org/10.17310/ntj.2005.2.05
Assessing the Theory and Practice of Land Value Taxation,Academic/Research,Richard F. Dye; Richard W. England,Scanned,https://www.progress.org/wiki/dye-england-assessing-lvt/,Medium,10,2010,core,Paper,https://www.lincolninst.edu/publications/policy-focus-reports/assessing-theory-practice-land-value-taxation/
B.C. Has Been Here Before: Land Value Taxation in British Columbia,Online Writing,,Scanned,https://www.progress.org/wiki/british-columbia/,Medium,0,2026,Important,Article,https://commonwealth.ca/blog/history-of-bc
Barker Review of Housing Supply (Final Report),Government/Official,Kate Barker (HM Treasury),Referenced,https://www.progress.org/wiki/barker-review-housing-supply/,Light,2,2004,important,Report,https://www.gov.uk/government/publications/barker-review-of-housing-supply-final-report-recommendations
BC's Carbon Tax Shift Is Working Well after Four Years,Academic Paper,Stewart Elgie; Jessica McClay,Scanned,https://www.progress.org/wiki/carbon-pricing-cuts-emissions/,Medium,1,2013,important,Paper,https://www.researchgate.net/publication/265938410
Benefits of Competition and Indicators of Market Power,Report,Council of Economic Advisers,Scanned,https://www.progress.org/wiki/cea-2016-market-power/,Medium,1,2016,supplementary,Report,https://obamawhitehouse.archives.gov/sites/default/files/page/files/20160414_cea_competition_issue_brief.pdf
"Book Review: Progress and Poverty (Doucet, ACX Contest Winner)",Academic/Research,Lars Doucet,Scanned,https://www.progress.org/wiki/doucet-acx-book-review/,Medium,0,2021,core,Paper,https://gameofrent.com/content/progress-and-poverty-review
Boom Bust: House Prices,Banking and the Depression of 2010,Modern Book,Fred Harrison,Scanned,https://www.progress.org/wiki/harrison-boom-bust/,Heavy,4,2005,core,Book
Building Tax Capacity for Growth and Development: Evidence-Based Analysis for Mobilizing Domestic Revenue (IMF DP 2025/007),Report,IMF Fiscal Affairs Department (Baer et al.),Scanned,https://www.progress.org/wiki/imf-building-tax-capacity/,Heavy,1,2025,supplementary,Report,https://www.imf.org/-/media/files/publications/dp/2025/english/btcgdea.pdf
Business-Income Taxation and Investment Incentives,Academic Paper,E. Cary Brown,Referenced,https://www.progress.org/wiki/cash-flow-tax/,Light,1,1948,important,Paper,
Can Leasing Public Land Be an Alternative Source of Local Public Finance?,Academic Paper,Yu-Hung Hong,Referenced,https://www.progress.org/wiki/public-land-leasing/,Light,1,1996,supplementary,Paper,https://www.lincolninst.edu/app/uploads/legacy-files/pubfiles/145_hong96web.pdf
Can the Land Tax Help Curb Urban Sprawl? Evidence from Growth Patterns in Pennsylvania,Academic Paper,H. Spencer Banzhaf; Nathan Lavery,Scanned,https://www.progress.org/wiki/banzhaf-lavery-pa-sprawl/,Medium,2,2010,important,Paper,https://doi.org/10.1016/j.jue.2009.08.005
Canberra First Lease Auction 1924 (Find of the Month 7/2015),Government/Official,ArchivesACT,Referenced,https://www.progress.org/wiki/public-land-leasing/,Light,1,2015,supplementary,Article,https://www.archives.act.gov.au/find_of_the_month/2015/july/previous-find-of-the-month-72015-page-1
Capital in the Twenty-First Century,Modern Book,Thomas Piketty,Scanned,https://www.progress.org/wiki/piketty-capital-21st-century/,Medium,1,2014,core,Book,https://www.hup.harvard.edu/books/9780674430006
Capitalism 3.0: A Guide to Reclaiming the Commons,Modern Book,Peter Barnes,Scanned,https://www.progress.org/wiki/capitalism-3-0/,Heavy,2,2006,important,Book,https://www.boell.de/sites/default/files/capitalism_3.0_peter_barnes.pdf
Capitalism Socialism and Democracy,Modern Book,Joseph Schumpeter,Referenced,https://www.progress.org/wiki/taxing-quasi-rents-kills-innovation/,Light,1,1942,core,Book,
"Capitalism, Socialism, and Democracy: A Symposium (Friedman, 'least bad tax')",Online Writing,Milton Friedman,Scanned,,Light,1,1978,important,Article,https://miltonfriedman.hoover.org/objects/56741/capitalism-socialism-and-democracy-a-symposium
Capitalizing on Crisis: The Political Origins of the Rise of Finance,Academic/Research,Greta R. Krippner,Referenced,https://www.progress.org/wiki/fire-sector/,Light,1,2011,important,Book,https://archive.org/details/capitalizingoncr0000krip
Carbon Pricing Efficacy: Cross-Country Evidence,Academic Paper,Rohan Best; Paul J. Burke; Frank Jotzo,Scanned,https://www.progress.org/wiki/carbon-pricing-cuts-emissions/,Light,1,2020,important,Paper,https://link.springer.com/article/10.1007/s10640-020-00436-x
Cash-Flow Taxes in an International Setting,Academic Paper,Alan Auerbach; Michael Devereux,Referenced,https://www.progress.org/wiki/cash-flow-tax/,Light,1,2018,important,Paper,https://www.aeaweb.org/articles?id=10.1257/pol.20170108
Center for Land Economics,Website/Org,,Scanned,https://www.progress.org/wiki/center-for-land-economics/,Medium,0,,,Website/Org,https://landeconomics.org/
Central London Congestion Charging: Impacts Monitoring — Second Annual Report,Government/Official,Transport for London,Scanned,https://www.progress.org/wiki/congestion-pricing/,Medium,1,2004,important,Report,https://content.tfl.gov.uk/impacts-monitoring-report-2.pdf
Citizen's Dividend (citdiv.org),Advocacy Site,Phillip J. Anderson,Referenced,https://www.progress.org/wiki/citizens-dividend-narrative/,Light,1,2021,supplementary,Website,https://citdiv.org/
Common Ground USA,Website/Org,,Scanned,https://www.progress.org/wiki/common-ground-usa/,Medium,0,,,Website/Org,https://commonground-usa.net/
"Common Rights to Land in England, 1475-1839",Academic Paper,Gregory Clark; Anthony Clark,Referenced,https://www.progress.org/wiki/fairlie-short-history-enclosure/,Light,2,2001,important,Paper,https://faculty.econ.ucdavis.edu/faculty/gclark/papers/commons.pdf
Common Wealth Canada,Website/Org,,Scanned,https://www.progress.org/wiki/common-wealth-canada/,Medium,0,ongoing,Important,Website,https://commonwealth.ca/
"Commoners: Common Right, Enclosure and Social Change in England, 1700-1820",Modern Book,J.M. Neeson,Scanned,https://www.progress.org/wiki/commoners-neeson/,Heavy,0,1993,important,Book,https://www.cambridge.org/gb/academic/subjects/history/british-history-after-1450/commoners-common-right-enclosure-and-social-change-england-17001820
Counting Bounty: The Quest to Know the Worth of Earth,Modern Book,Jeffery Johnson Smith,Referenced,https://www.progress.org/wiki/land-rent-could-fund-government/,Light,1,2020,supplementary,Book,https://www.barnesandnoble.com/w/counting-bounty-jeffery-johnson-smith/1134287145
Critics of Henry George: A Centenary Appraisal of Their Strictures on Progress and Poverty,Modern Book,Robert V. Andelson (ed.),Scanned,https://www.progress.org/wiki/critics-of-henry-george/,Heavy,0,1979,core,Book,
Deciphering the Fall and Rise in the Net Capital Share,Academic/Research,Matthew Rognlie,Scanned,https://www.progress.org/wiki/rognlie-capital-share/,Medium,13,2015,core,Paper,https://mattrognlie.com/brookings_capitalshare.pdf
Declaring Speculation and Vacancy Tax Means More Housing Available,Government,Province of British Columbia,Scanned,https://www.progress.org/wiki/vancouver/,Light,1,2026,supplementary,Press Release,https://news.gov.bc.ca/releases/2026FIN0001-000033
Declining Labor and Capital Shares,Academic Paper,Simcha Barkai,Scanned,https://www.progress.org/wiki/barkai-declining-shares/,Heavy,2,2020,important,Paper,https://doi.org/10.1111/jofi.12909
Destination-Based Cash Flow Taxation (Oxford CBT WP 17/01),Academic Paper,Alan Auerbach; Michael Devereux; Michael Keen; John Vella,Scanned,https://www.progress.org/wiki/cash-flow-tax/,Light,1,2017,important,Paper,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2908158
Determinants of Property Tax Revenue: Lessons from Empirical Analysis,Academic/Research,World Bank,Scanned,https://www.progress.org/wiki/world-bank-property-tax-determinants/,Medium,0,2020,important,Paper,https://documents1.worldbank.org/curated/en/360151600192574693/pdf/Determinants-of-Property-Tax-Revenue-Lessons-from-Empirical-Analysis.pdf
Digitization and the Macro-Economics of Superstars,Academic Paper,Anton Korinek; Ding Xuan Ng,Scanned,https://www.progress.org/wiki/korinek-ng-digital-superstars/,Light,1,2021,important,Paper,https://www.imf.org/en/Publications/WP/Issues/2021/06/25/Digitization-and-the-Macroeconomics-of-Superstars-461233
Dispossession: Discrimination Against African American Farmers in the Age of Civil Rights,Modern Book,Pete Daniel,Scanned,https://www.progress.org/wiki/dispossession-daniel/,Heavy,2,2013,important,Book,https://uncpress.org/book/9781469602011/dispossession/
Distinguishing between normal and excess returns for tax policy (OECD Taxation WP 28),Institutional Report,Hayley Reynolds; Thomas Neubig,Referenced,https://www.progress.org/wiki/allowance-for-corporate-equity/,Light,1,2016,important,Report,https://www.oecd.org/en/publications/distinguishing-between-normal-and-excess-returns-for-tax-policy_5jln6jct58vd-en.html
Distributing the Corporate Income Tax: Revised U.S. Treasury Methodology (OTA TP-5),Institutional Report,Julie-Anne Cronin; Emily Lin; Laura Power; Michael Cooper,Referenced,https://www.progress.org/wiki/allowance-for-corporate-equity/,Light,1,2013,important,Report,https://home.treasury.gov/system/files/131/TP-5.pdf
Distributional Consequences of Converting the Property Tax to a Land Value Tax: Replication and Extension of England and Zhao,Academic Paper,John H. Bowman; Michael E. Bell,Scanned,https://www.progress.org/wiki/bowman-bell-lvt-distribution/,Medium,1,2008,important,Paper,https://doi.org/10.17310/ntj.2008.4.02
Do Higher Corporate Taxes Reduce Wages? Micro Evidence from Germany,Academic Paper,Clemens Fuest; Andreas Peichl; Sebastian Siegloch,Scanned,https://www.progress.org/wiki/fuest-peichl-siegloch-incidence/,Light,1,2018,core,Paper,https://www.aeaweb.org/articles?id=10.1257/aer.20130570
Do Local Property Taxes Affect New Building Development? Results from a Quasi-Natural Experiment in New Zealand,Academic Paper,Norman Gemmell; Arthur Grimes; Mark Skidmore,Scanned,https://www.progress.org/wiki/gemmell-grimes-skidmore-nz/,Medium,2,2019,important,Paper,https://doi.org/10.1007/s11146-017-9651-y
Does a Carbon Tax Reduce CO2 Emissions? Evidence from British Columbia,Academic Paper,Felix Pretis,Scanned,https://www.progress.org/wiki/carbon-pricing-cuts-emissions/,Light,1,2022,important,Paper,https://link.springer.com/article/10.1007/s10640-022-00679-w
Does a tax deduction scheme matter for jobs and investment by multinational and domestic enterprises?,Academic Paper,Jozef Konings; Catherine Lecocq; Bruno Merlevede,Referenced,https://www.progress.org/wiki/allowance-for-corporate-equity/,Medium,1,2022,important,Paper,https://onlinelibrary.wiley.com/doi/abs/10.1111/caje.12624
Does Capital Bear the U.S. Corporate Tax After All? New Evidence from Corporate Tax Returns,Academic Paper,Edward Fox,Referenced,https://www.progress.org/wiki/taxing-quasi-rents-kills-innovation/,Light,1,2020,important,Paper,https://repository.law.umich.edu/articles/2189/
"Does Georgism Work? (Doucet, ACX series)",Academic/Research,Lars Doucet,Scanned,https://www.progress.org/wiki/doucet-does-georgism-work/,Medium,9,2021,core,Paper,https://www.astralcodexten.com/p/does-georgism-work-is-land-really
Does the Henry George Theorem Provide a Practical Guide to Optimal City Size?,Academic Paper,Richard Arnott,Scanned,https://www.progress.org/wiki/arnott-hgt-practical-guide/,Medium,1,2004,important,Paper,https://www.jstor.org/stable/3488064
Earthsharing Australia,Website/Org,,Scanned,https://www.progress.org/wiki/earthsharing-australia/,Medium,2,,,Website/Org,https://www.earthsharing.org.au/
Ecological Economics and the Ecology of Economics: Essays in Criticism,Modern Book,Herman E. Daly,Scanned,https://www.progress.org/wiki/ecological-economics-daly/,Heavy,0,1999,important,Book,
Economists' Statement on Carbon Dividends,Policy Statement,Climate Leadership Council,Referenced,https://www.progress.org/wiki/ecological-rent/,Light,2,2019,important,Article,https://clcouncil.org/economists-statement/
Effects of Split-Rate Taxation on Tax Base,Academic Paper,Zhou Yang; Zackary B. Hawley,Scanned,https://www.progress.org/wiki/yang-split-rate-tax-base/,Medium,2,2022,Important,Paper,https://journals.sagepub.com/doi/10.1177/10911421221129956
Enclosing the Land (Living Heritage),Government/Official,UK Parliament,Referenced,https://www.progress.org/wiki/fairlie-short-history-enclosure/,Light,2,,supplementary,Article,https://www.parliament.uk/about/living-heritage/transformingsociety/towncountry/landscape/overview/enclosingland/
Equity and Efficiency Effects of Land Value Taxation,Academic/Research,Gregor Schwerhoff; Ottmar Edenhofer; Marc Fleurbaey,Scanned,https://www.progress.org/wiki/schwerhoff-imf-equity-efficiency/,Medium,2,2022,important,Paper,https://www.imf.org/-/media/files/publications/wp/2022/english/wpiea2022263-print-pdf.pdf
Equity for Companies: A Corporation Tax for the 1990s (IFS Commentary 26),Institutional Report,IFS Capital Taxes Group; Michael Devereux; Harold Freeman,Scanned,https://www.progress.org/wiki/allowance-for-corporate-equity/,Light,1,1991,important,Report,https://ifs.org.uk/publications/equity-companies-corporation-tax-1990s
Escaping the Housing Trap: The Strong Towns Response,Modern Book,Charles Marohn; Daniel Herriges,Not scanned,,—,0,2024,Supplementary,Book,
Escaping the Resource Curse and the Dutch Disease? (Norway),Academic Paper,Erling Røed Larsen,Referenced,https://www.progress.org/wiki/resource-rent-capture-works/,Light,1,2006,important,Paper,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1536-7150.2006.00476.x
Essay on the Co-ordination of the Laws of Distribution,Historical Text,Philip Wicksteed,Referenced,https://www.progress.org/wiki/philip-wicksteed/,Light,1,1894,important,Book,
Estimating Land Values,Online Writing,Ted Gwartney,Scanned,https://www.progress.org/wiki/gwartney-estimating-land-values/,Light,2,1999,important,Article,https://www.henrygeorge.org/ted.htm
Evaluating the effects of ACE systems on multinational debt financing and investment,Academic Paper,Shafik Hebous; Martin Ruf,Scanned,https://www.progress.org/wiki/hebous-ruf-ace/,Medium,3,2017,core,Paper,https://doi.org/10.1016/j.jpubeco.2017.02.011
Evidence on the Distributional Effects of a Land Value Tax on Residential Households,Academic Paper,Elizabeth Plummer,Scanned,https://www.progress.org/wiki/plummer-lvt-distribution/,Medium,1,2010,important,Paper,https://doi.org/10.17310/ntj.2010.1.03
Exporting the Alaska Model: Adapting the Permanent Fund Dividend for Reform around the World,Modern Book,Karl Widerquist; Michael W. Howard (eds.),Referenced,https://www.progress.org/wiki/citizens-dividend-narrative/,Light,1,2012,important,Book,https://link.springer.com/book/10.1057/9781137031655
F is for FIRE Sector (J Is for Junk Economics entry),Online Writing,Michael Hudson,Referenced,https://www.progress.org/wiki/fire-sector/,Light,1,2013,supplementary,Article,https://michael-hudson.com/2013/09/f-is-for-fire-sector/
Fairness of Land Value Taxation: A Rawlsian Derivation,Academic/Research,Rhee,Scanned,https://www.progress.org/wiki/rhee-rawlsian-lvt/,Medium,0,2024,supplementary,Paper,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4797126
FCC Auctions Summary,Government/Official,Federal Communications Commission,Referenced,https://www.progress.org/wiki/spectrum-auctions/,Light,1,2024,important,Article,https://www.fcc.gov/auctions-summary
Film: Real Estate 4 Ransom (release post),Online Writing,Michael Hudson,Referenced,https://www.progress.org/wiki/real-estate-4-ransom/,Light,1,2012,supplementary,Article,https://michael-hudson.com/2012/03/film-real-estate-4-ransom/
Finance Capitalism versus Industrial Capitalism: The Rentier Resurgence and Takeover,Academic Paper,Michael Hudson,Referenced,https://www.progress.org/wiki/fire-sector/,Light,1,2021,important,Paper,https://journals.sagepub.com/doi/abs/10.1177/04866134211011770
Finance: Function Matters Not Size,Academic Paper,John H. Cochrane,Referenced,https://www.progress.org/wiki/fire-sector/,Light,1,2013,important,Paper,https://www.aeaweb.org/articles?id=10.1257/jep.27.2.29
From Soil to Servers: Persistent Neglect of Land Resources and Digital-Age Rents,Academic/Research,Mises et al.,Scanned,https://www.progress.org/wiki/soil-to-servers-digital-rents/,Medium,0,2025,supplementary,Paper,https://www.mdpi.com/2073-445X/14/2/341
From Wasteland to Promised Land: Liberation Theology for a Post-Marxist World,Modern Book,Robert V. Andelson; James M. Dawsey,Scanned,https://www.progress.org/wiki/from-wasteland-to-promised-land/,Heavy,0,1992,supplementary,Book,https://www.amazon.com/Wasteland-Promised-Land-Liberation-Post-Marxist/dp/0883447932
Garden Cities of To-morrow,Modern Book,Ebenezer Howard,Scanned,https://www.progress.org/wiki/garden-cities-of-to-morrow/,Heavy,0,1902,important,Book,https://www.gutenberg.org/cache/epub/46134/pg46134.txt
Georgism Video Explainers,Academic/Research,Various,Scanned,https://www.progress.org/wiki/georgism-video-explainers/,Medium,0,2022,important,Paper,https://www.youtube.com/watch?v=smi_iIoKybg
Guardian Columnist George Monbiot: Land Acts,Online Writing,Jeffery J. Smith,Referenced,,Light,1,2020,supplementary,Article,https://www.progress.org/articles/guardian-columnist-george-monbiot-land-acts
Has the US Finance Industry Become Less Efficient?,Academic Paper,Thomas Philippon,Scanned,https://www.progress.org/wiki/philippon-finance-efficiency/,Medium,1,2015,core,Paper,https://www.aeaweb.org/articles?id=10.1257/aer.20120578
Have Excess Returns to Corporations Been Increasing Over Time? (OTA WP 111),Academic Paper,Laura Power; Austin Frerick,Scanned,https://www.progress.org/wiki/power-frerick-excess-returns/,Medium,1,2016,important,Paper,https://home.treasury.gov/system/files/131/wp-111.pdf
Healthy Climate and Family Security Act (cap-and-dividend bills 2009-2024),Government/Official,Chris Van Hollen; Don Beyer,Referenced,https://www.progress.org/wiki/barnes-sky-trust/,Light,2,2015,supplementary,Legislation,https://www.congress.gov/bill/114th-congress/house-bill/1027
Henry George (1839-1897) (Pioneers in Economics vol. 34),Academic/Research,Mark Blaug (ed.),Referenced,https://www.progress.org/wiki/blaug-henry-george-rebel/,Light,1,1992,supplementary,Book,
Henry George (biography),Modern Book,Charles Albro Barker,Scanned,https://www.progress.org/wiki/barker-henry-george-biography/,Heavy,0,1955,core,Book,
Henry George and the Single Tax (documentary) + Bonner interview,Online Writing,Lawrence Bosek; Mike Bonner (film),Referenced,https://www.progress.org/wiki/georgism-video-explainers/,Light,1,2017,supplementary,Article,https://www.progress.org/articles/henry-george-and-the-single-tax-documentary-and-interview
Henry George Foundation (UK),Website/Org,,Scanned,https://www.progress.org/wiki/henry-george-foundation-uk/,Medium,1,,,Website/Org,https://henrygeorgefoundation.org/
Henry George School of Social Science,Website/Org,,Scanned,https://www.progress.org/wiki/henry-george-school/,Medium,3,,,Website/Org,https://www.hgsss.org/
"Henry George, Land Speculation, and Economic Growth (Oxford Review, 2025)",Academic/Research,Various,Scanned,https://www.progress.org/wiki/oxford-review-george-2025/,Medium,0,2025,important,Paper,https://academic.oup.com/oxrep/article/41/2/326/8320563
Henry George: Rebel with a Cause,Academic Paper,Mark Blaug,Scanned,https://www.progress.org/wiki/blaug-henry-george-rebel/,Full,3,2000,important,Paper,https://cooperative-individualism.org/blaug-mark_henry-george-rebel-with-a-cause-2000-summer.pdf
History of Economic Analysis,Historical Text,Joseph A. Schumpeter,Referenced,https://www.progress.org/wiki/blaug-henry-george-rebel/,Light,3,1954,important,Book,
"House Price Uncertainty, Timing of Development, and Vacant Land Prices: Evidence for Real Options in Seattle",Academic Paper,Christopher R. Cunningham,Scanned,https://www.progress.org/wiki/cunningham-seattle-options/,Medium,1,2006,important,Paper,https://doi.org/10.1016/j.jue.2005.08.003
Housing Constraints and Spatial Misallocation,Academic Paper,Chang-Tai Hsieh; Enrico Moretti,Scanned,https://www.progress.org/wiki/hsieh-moretti-spatial-misallocation/,Medium,1,2019,core,Paper,https://www.aeaweb.org/articles?id=10.1257/mac.20170388
Housing Prices Mortgage Interest Rates and the Rising Share of Capital Income in the United States,Academic Paper,Gianni La Cava,Scanned,https://www.progress.org/wiki/la-cava-housing-capital-share/,Medium,1,2016,important,Paper,https://www.bis.org/publ/work572.pdf
How effective is an incremental ACE in addressing the debt bias? Evidence from corporate tax returns,Academic Paper,Nicola Branzoli; Antonella Caiumi,Scanned,https://www.progress.org/wiki/branzoli-caiumi-italy-ace/,Medium,2,2020,important,Paper,https://doi.org/10.1007/s10797-020-09609-2
How Land Barons Industrialists and Bankers Corrupted Economics,Online Writing,Unattributed [VERIFY],Referenced,https://www.progress.org/wiki/the-corruption-of-economics/,Light,1,2016,supplementary,Article,https://www.progress.org/articles/how-land-barons-industrialists-and-bankers-corrupted-economics/
How the Indians Lost Their Land: Law and Power on the Frontier,Modern Book,Stuart Banner,Scanned,https://www.progress.org/wiki/how-the-indians-lost-their-land/,Heavy,2,2005,important,Book,https://www.hup.harvard.edu/books/9780674023963
How the Speculation and Vacancy Tax Works,Government,Province of British Columbia,Scanned,https://www.progress.org/wiki/vancouver/,Light,1,ongoing,supplementary,Webpage,https://www2.gov.bc.ca/gov/content/taxes/speculation-vacancy-tax/how-tax-works
I agree with Churchill: let's get stuck into the real shirkers,Journalism,George Monbiot,Referenced,people/george-monbiot,Light,2,2013,supplementary,Article,https://www.monbiot.com/2013/01/21/a-telling-silence/
