slug,title,category,url,inbound_links,outbound_links,words,stub,orphan,last_reviewed
betterment-levy,Betterment Levy,concepts,https://www.progress.org/wiki/betterment-levy/,20,18,1823,false,false,2026-07-04
bezemer-hudson-finance-is-not-the-economy,'Bezemer & Hudson (2016): Finance Is Not the Economy',research,https://www.progress.org/wiki/bezemer-hudson-finance-is-not-the-economy/,7,14,1243,false,false,
bezemer-no-one-saw-this-coming,"\""No One Saw This Coming\"": Understanding Financial Crisis Through Accounting Models (Bezemer)",research,https://www.progress.org/wiki/bezemer-no-one-saw-this-coming/,5,5,436,false,false,2026-07-12
bezemer-samarina-zhang-debt-shift,"'The Shift in Bank Credit Allocation: New Data and New Findings (Bezemer, Samarina",research,https://www.progress.org/wiki/bezemer-samarina-zhang-debt-shift/,3,7,706,false,false,2026-07-13
black-death,The Black Death and the Rent-Wage Inversion,events,https://www.progress.org/wiki/black-death/,1,6,715,true,false,2026-07-11
blanco-spain-two-lands,"'Blanco, Bauluz & Martínez-Toledano (2018): Wealth in Spain, 1900-2014'",research,https://www.progress.org/wiki/blanco-spain-two-lands/,2,4,470,true,false,2026-07-12
blaug-henry-george-rebel,Henry George: Rebel with a Cause,research,https://www.progress.org/wiki/blaug-henry-george-rebel/,10,7,1267,false,false,2026-07-12
boldrin-levine-against-intellectual-monopoly,Against Intellectual Monopoly (Boldrin & Levine),research,https://www.progress.org/wiki/boldrin-levine-against-intellectual-monopoly/,5,8,1270,false,false,2026-07-11
bonnet-land-is-back,"Land is Back, It Should Be Taxed, It Can Be Taxed",research,https://www.progress.org/wiki/bonnet-land-is-back/,29,3,224,false,false,2026-07-12
boom-bust-cycle,Boom-Bust Cycle,concepts,https://www.progress.org/wiki/boom-bust-cycle/,55,30,2855,false,false,2026-07-04
borge-rattso-norway-capitalization,Capitalization of Property Taxes in Norway,research,https://www.progress.org/wiki/borge-rattso-norway-capitalization/,4,11,957,false,false,2026-07-11
borio-financial-cycle,'Borio (2012): The Financial Cycle and Macroeconomics',research,https://www.progress.org/wiki/borio-financial-cycle/,6,12,1126,false,false,
bourassa-pittsburgh-lvt-housing,Bourassa (1987): Land Value Taxation and New Housing Development in Pittsburgh,research,https://www.progress.org/wiki/bourassa-pittsburgh-lvt-housing/,4,5,866,true,false,2026-07-12
bowman-bell-lvt-distribution,Distributional Consequences of Converting the Property Tax to a Land Value,research,https://www.progress.org/wiki/bowman-bell-lvt-distribution/,6,7,1984,false,false,2026-07-09
branzoli-caiumi-italy-ace,Branzoli & Caiumi (2020): Italy's Incremental ACE and the Debt Bias,research,https://www.progress.org/wiki/branzoli-caiumi-italy-ace/,6,4,389,false,false,2026-07-12
brennan-buchanan-power-to-tax,'The Power to Tax: Analytical Foundations of a Fiscal Constitution',research,https://www.progress.org/wiki/brennan-buchanan-power-to-tax/,3,5,747,false,false,2026-07-10
british-columbia,British Columbia,places,https://www.progress.org/wiki/british-columbia/,7,9,1509,false,false,2026-07-11
brockmeyer-property-tax-developing,Taxing Property in Developing Countries,research,https://www.progress.org/wiki/brockmeyer-property-tax-developing/,7,2,188,false,false,
brueckner-kim-sprawl,"Urban Sprawl and the Property Tax (Brueckner & Kim, 2003)",research,https://www.progress.org/wiki/brueckner-kim-sprawl/,2,7,704,false,false,2026-07-11
brueckner-site-value-taxation,A Modern Analysis of the Effects of Site Value Taxation,research,https://www.progress.org/wiki/brueckner-site-value-taxation/,12,9,2729,false,false,2026-07-12
bryan-kavanagh,Bryan Kavanagh,people,https://www.progress.org/wiki/bryan-kavanagh/,1,5,389,true,false,2026-07-11
bubbles-cannot-be-identified-in-advance,Objection: Bubbles Cannot Be Identified in Advance,objections,https://www.progress.org/wiki/bubbles-cannot-be-identified-in-advance/,2,10,1782,true,false,2026-07-12
buchanan-historical-rent-theory,Buchanan (1929): The Historical Approach to Rent and Price Theory,research,https://www.progress.org/wiki/buchanan-historical-rent-theory/,1,8,471,true,false,2026-07-12
buettner-german-land-tax-capitalization,Buettner (2003): Tiebout Visits Germany — Land Tax Capitalization in a Sample of German Municipalities,research,https://www.progress.org/wiki/buettner-german-land-tax-capitalization/,3,5,649,true,false,2026-07-12
buterin-on-radical-markets,'Vitalik Buterin: On Radical Markets',research,https://www.progress.org/wiki/buterin-on-radical-markets/,5,2,479,false,false,
cabral-hoxby-hated-property-tax,Cabral & Hoxby (2012): The Hated Property Tax,research,https://www.progress.org/wiki/cabral-hoxby-hated-property-tax/,2,4,466,true,false,2026-07-12
california-irrigation-districts,California Irrigation Districts and the Wright Act (1887),research,https://www.progress.org/wiki/california-irrigation-districts/,3,7,862,false,false,2026-07-12
california-single-tax-campaigns,California Single-Tax Campaigns (1916-1930s),events,https://www.progress.org/wiki/california-single-tax-campaigns/,1,5,452,true,false,2026-07-11
calomiris-mason-bank-distress,Calomiris & Mason (2003): Consequences of Bank Distress During the Great Depression,research,https://www.progress.org/wiki/calomiris-mason-bank-distress/,2,4,503,true,false,2026-07-12
canada,Canada,places,https://www.progress.org/wiki/canada/,3,10,1906,false,false,2026-07-12
canberra-leasehold-system,Canberra Leasehold System,places,https://www.progress.org/wiki/canberra-leasehold-system/,1,8,1648,false,false,2026-07-11
canons-of-taxation,Canons of Taxation,concepts,https://www.progress.org/wiki/canons-of-taxation/,5,9,623,false,false,
capital-share-rise-is-land,"Most of the modern rise in the capital share is land, not capital",problems,https://www.progress.org/wiki/capital-share-rise-is-land/,43,22,1044,false,false,2026-07-13
capitalism-3-0,Capitalism 3.0: A Guide to Reclaiming the Commons,books,https://www.progress.org/wiki/capitalism-3-0/,9,6,1479,false,false,2026-07-07
capitalization-rate,Capitalization Rate,concepts,https://www.progress.org/wiki/capitalization-rate/,1,4,629,true,false,2026-07-12
capozza-green-hendershott-residential-land,"Taxes, Mortgage Borrowing, and Residential Land Prices",research,https://www.progress.org/wiki/capozza-green-hendershott-residential-land/,4,8,1039,false,false,2026-07-11
carbon-pricing-cuts-emissions,"Carbon pricing cuts emissions — modestly, and without wrecking growth",benefits,https://www.progress.org/wiki/carbon-pricing-cuts-emissions/,11,13,1836,false,false,2026-07-13
carroll-yinger-benefit-tax-rental,Is the Property Tax a Benefit Tax? The Case of Rental Housing,research,https://www.progress.org/wiki/carroll-yinger-benefit-tax-rental/,7,7,2351,false,false,2026-07-12
case-shiller-2003-bubble,Is There a Bubble in the Housing Market?,research,https://www.progress.org/wiki/case-shiller-2003-bubble/,5,6,2344,false,false,2026-07-12
cash-flow-tax,Cash-Flow Tax,concepts,https://www.progress.org/wiki/cash-flow-tax/,21,12,1255,false,false,2026-07-06
cea-2016-market-power,Benefits of Competition and Indicators of Market Power,research,https://www.progress.org/wiki/cea-2016-market-power/,1,9,1640,false,false,2026-07-04
center-for-land-economics,Center for Land Economics,organizations,https://www.progress.org/wiki/center-for-land-economics/,4,4,482,false,false,2026-07-12
centre-point,Centre Point,places,https://www.progress.org/wiki/centre-point/,1,5,451,true,false,2026-07-11
charles-albro-barker,Charles Albro Barker,people,https://www.progress.org/wiki/charles-albro-barker/,4,5,589,false,false,
charles-tiebout,Charles Tiebout,people,https://www.progress.org/wiki/charles-tiebout/,4,13,1569,false,false,2026-07-05
chicago,Chicago,places,https://www.progress.org/wiki/chicago/,5,12,1763,false,false,2026-07-09
cho-two-rate-density,Impact of a Two-Rate Property Tax on Residential Densities,research,https://www.progress.org/wiki/cho-two-rate-density/,4,4,361,false,false,2026-07-12
christopher-england,Christopher England,people,https://www.progress.org/wiki/christopher-england/,4,12,2044,false,false,2026-07-12
christophers-rentier-capitalism,Christophers (2020): Rentier Capitalism,research,https://www.progress.org/wiki/christophers-rentier-capitalism/,1,6,315,true,false,2026-07-12
churchill-budget-resolutions-1909,"The Budget Resolutions (Churchill, House of Commons, 4 May 1909)",texts,https://www.progress.org/wiki/churchill-budget-resolutions-1909/,3,4,4230,false,false,2026-07-09
churchill-mother-of-monopolies-1909,"The Mother of All Monopolies (Churchill, 1909)",texts,https://www.progress.org/wiki/churchill-mother-of-monopolies-1909/,4,9,3155,false,false,2026-07-07
churchill-peoples-rights,"Winston Churchill, The People's Rights (1910)",research,https://www.progress.org/wiki/churchill-peoples-rights/,8,8,2542,false,false,2026-07-03
citizens-dividend,Citizen's Dividend,concepts,https://www.progress.org/wiki/citizens-dividend/,57,16,940,false,false,
citizens-dividend-narrative,Narrative: A Dividend from Common Wealth,narratives,https://www.progress.org/wiki/citizens-dividend-narrative/,8,23,1802,false,false,2026-07-10
clean-slate-proclamations,Clean Slate Proclamations (Ancient Debt Jubilees),concepts,https://www.progress.org/wiki/clean-slate-proclamations/,1,4,706,true,false,2026-07-12
colburn-aldern-homelessness,'Homelessness Is a Housing Problem: How Structural Factors Explain U.S. Patterns',research,https://www.progress.org/wiki/colburn-aldern-homelessness/,7,5,1036,false,false,2026-07-10
colin-clark,Colin Clark,people,https://www.progress.org/wiki/colin-clark/,2,5,803,true,false,2026-07-09
collateral-channel,Collateral Channel,concepts,https://www.progress.org/wiki/collateral-channel/,1,5,488,true,false,2026-07-11
common-agricultural-policy,Common Agricultural Policy (CAP),concepts,https://www.progress.org/wiki/common-agricultural-policy/,1,4,614,true,false,2026-07-12
common-ground-usa,Common Ground USA,organizations,https://www.progress.org/wiki/common-ground-usa/,2,6,439,false,false,2026-07-11
common-heritage-of-mankind,Common Heritage of Mankind (Seabed Rents),concepts,https://www.progress.org/wiki/common-heritage-of-mankind/,1,4,557,true,false,2026-07-11
common-wealth-canada,Common Wealth Canada,organizations,https://www.progress.org/wiki/common-wealth-canada/,16,15,1869,false,false,2026-07-10
common-wealth-fund,The Common Wealth Fund,research,https://www.progress.org/wiki/common-wealth-fund/,5,11,419,false,false,
commoners-neeson,"Commoners: Common Right, Enclosure and Social Change in England, 1700–1820",books,https://www.progress.org/wiki/commoners-neeson/,8,7,1584,false,false,2026-07-07
commonwealth-land-party,Commonwealth Land Party,organizations,https://www.progress.org/wiki/commonwealth-land-party/,1,4,380,true,false,2026-07-11
community-creates-land-value,Narrative: The Community Creates Land Value,narratives,https://www.progress.org/wiki/community-creates-land-value/,12,29,1601,false,false,2026-07-12
community-land-trust,Community Land Trust,concepts,https://www.progress.org/wiki/community-land-trust/,6,10,1176,false,false,2026-07-07
compulsory-purchase,Compulsory Purchase and Eminent Domain,concepts,https://www.progress.org/wiki/compulsory-purchase/,1,4,439,true,false,2026-07-11
congestion-pricing,Congestion Pricing,concepts,https://www.progress.org/wiki/congestion-pricing/,14,11,1353,false,false,2026-07-06
congestion-pricing-reduces-traffic,Congestion pricing reduces traffic and congestion,benefits,https://www.progress.org/wiki/congestion-pricing-reduces-traffic/,13,9,1251,false,false,2026-07-13
cook-nyc-congestion-pricing,"The Short-Run Effects of Congestion Pricing in New York City (Cook, Kreidieh & Vasserman et al.)",research,https://www.progress.org/wiki/cook-nyc-congestion-pricing/,3,5,661,false,false,2026-07-12
cord-george-dreamer-or-realist,"'Cord, Henry George: Dreamer or Realist? (1965)'",research,https://www.progress.org/wiki/cord-george-dreamer-or-realist/,3,5,512,true,false,2026-07-12
corinth-permanent-supportive-housing,The Impact of Permanent Supportive Housing on Homeless Populations,research,https://www.progress.org/wiki/corinth-permanent-supportive-housing/,3,6,768,false,false,2026-07-11
corlett-judge-home-affront,'Home Affront: Housing across the Generations',research,https://www.progress.org/wiki/corlett-judge-home-affront/,4,4,401,false,false,2026-07-10
corporate-profits-increasingly-rents,Corporate profits increasingly reflect economic rents,problems,https://www.progress.org/wiki/corporate-profits-increasingly-rents/,27,24,1329,false,false,2026-07-13
council-of-georgist-organizations,Council of Georgist Organizations,organizations,https://www.progress.org/wiki/council-of-georgist-organizations/,2,5,432,true,false,2026-07-12
credit-window-guidance,Credit Window Guidance,concepts,https://www.progress.org/wiki/credit-window-guidance/,3,6,521,true,false,2026-07-11
cribb-hood-hoyle-homeownership,"The Decline of Homeownership Among Young Adults (Cribb, Hood & Hoyle)",research,https://www.progress.org/wiki/cribb-hood-hoyle-homeownership/,2,7,543,false,false,2026-07-11
crime-of-poverty,The Crime of Poverty (1885),texts,https://www.progress.org/wiki/crime-of-poverty/,6,8,11612,false,false,2026-07-06
critics-of-henry-george,Critics of Henry George: A Centenary Appraisal of Their Strictures on Progress and Poverty,books,https://www.progress.org/wiki/critics-of-henry-george/,7,6,1868,false,false,2026-07-07
crouzet-eberly-intangibles,'Understanding Weak Capital Investment: The Role of Market Concentration and,research,https://www.progress.org/wiki/crouzet-eberly-intangibles/,12,7,2618,false,false,2026-07-10
crown-estate,Crown Estate,organizations,https://www.progress.org/wiki/crown-estate/,1,6,549,true,false,2026-07-12
cunningham-seattle-options,"House Price Uncertainty, Timing of Development, and Vacant Land Prices: Evidence for Real Options in Seattle",research,https://www.progress.org/wiki/cunningham-seattle-options/,9,4,1419,false,false,2026-07-12
cwc-distributional-impacts-lvt,Assessing the Distributional Impacts of a Land Value Tax,research,https://www.progress.org/wiki/cwc-distributional-impacts-lvt/,8,8,2047,false,false,2026-07-09
cwc-lvt-price-reaction-model,Modeling the Price Reaction to the Implementation of a Land Value Tax,research,https://www.progress.org/wiki/cwc-lvt-price-reaction-model/,2,4,336,false,false,2026-07-12
cycles-are-credit-not-land,"Objection: property cycles are driven by credit, not land",objections,https://www.progress.org/wiki/cycles-are-credit-not-land/,24,15,1239,false,false,2026-07-13
data-as-labor,Data as Labor,concepts,https://www.progress.org/wiki/data-as-labor/,4,8,541,true,false,2026-07-11
data-rents,Platform and Data Rents,concepts,https://www.progress.org/wiki/data-rents/,16,20,1063,false,false,2026-07-06
dave-wetzel,Dave Wetzel,people,https://www.progress.org/wiki/dave-wetzel/,1,6,316,true,false,2026-07-11
david-albouy,David Albouy,people,https://www.progress.org/wiki/david-albouy/,3,11,954,false,false,2026-07-05
david-lloyd-george,David Lloyd George,people,https://www.progress.org/wiki/david-lloyd-george/,15,9,3613,false,false,2026-07-10
david-redfearn,David Redfearn,people,https://www.progress.org/wiki/david-redfearn/,3,6,672,false,false,
david-ricardo,David Ricardo,people,https://www.progress.org/wiki/david-ricardo/,43,10,516,false,false,2026-07-06
davis-heathcote-us-land,The Price and Quantity of Residential Land in the United States,research,https://www.progress.org/wiki/davis-heathcote-us-land/,7,9,1476,false,false,2026-07-03
davis-larson-oliner-shui-fhfa-land,"The Price of Residential Land for Counties, ZIP Codes, and Census Tracts in the United States",research,https://www.progress.org/wiki/davis-larson-oliner-shui-fhfa-land/,6,9,573,false,false,2026-07-12
de-loecker-eeckhout-unger-markups,The Rise of Market Power and the Macroeconomic Implications,research,https://www.progress.org/wiki/de-loecker-eeckhout-unger-markups/,15,8,3243,false,false,2026-07-10
deadweight-loss,Deadweight Loss,concepts,https://www.progress.org/wiki/deadweight-loss/,69,11,1023,false,false,
demographics-explain-house-prices,Demographic Change Explains House Prices,objections,https://www.progress.org/wiki/demographics-explain-house-prices/,1,8,974,true,false,2026-07-12
denmark,Denmark,places,https://www.progress.org/wiki/denmark/,19,4,706,false,false,
deportations-delirium,"The Deportations Delirium of Nineteen-Twenty (Louis F. Post, 1923)",books,https://www.progress.org/wiki/deportations-delirium/,2,4,729,false,false,2026-07-10
detroit-lvt-proposal,Detroit Land Value Tax Proposal (2023–24),events,https://www.progress.org/wiki/detroit-lvt-proposal/,3,3,937,false,false,
digital-services-tax-incidence,Digital Services Taxes and Their Incidence — the Location-Specific-Rent Rationale,research,https://www.progress.org/wiki/digital-services-tax-incidence/,7,13,1919,false,false,2026-07-10
dispossession-daniel,Dispossession: Discrimination Against African American Farmers in the Age of Civil Rights,books,https://www.progress.org/wiki/dispossession-daniel/,5,3,1466,false,false,2026-07-07
dissolution-of-the-monasteries,Dissolution of the Monasteries,events,https://www.progress.org/wiki/dissolution-of-the-monasteries/,1,4,436,true,false,2026-07-11
dma-interoperability-dissolution,The Digital Markets Act — Dissolving the Platform Rent by Mandated Interoperability,research,https://www.progress.org/wiki/dma-interoperability-dissolution/,6,13,1899,false,false,2026-07-12
dmitry-lvov,Dmitry Lvov,people,https://www.progress.org/wiki/dmitry-lvov/,2,4,468,true,false,2026-07-12
dobbeling-carbon-pricing-meta-analysis,Systematic Review and Meta-Analysis of Ex-Post Evaluations on the Effectiveness of Carbon Pricing (Döbbeling-Hildebrandt et al.),research,https://www.progress.org/wiki/dobbeling-carbon-pricing-meta-analysis/,3,6,761,false,false,2026-07-12
domar-musgrave-risk,'Domar & Musgrave (1944): Proportional Income Taxation and Risk-Taking',research,https://www.progress.org/wiki/domar-musgrave-risk/,3,4,525,false,false,2026-07-06
domesday-book,Domesday Book (1086),events,https://www.progress.org/wiki/domesday-book/,2,5,477,true,false,2026-07-11
dominic-frisby,Dominic Frisby,people,https://www.progress.org/wiki/dominic-frisby/,3,4,392,false,false,2026-07-11
donald-shoup,Donald Shoup,people,https://www.progress.org/wiki/donald-shoup/,1,4,523,true,false,2026-07-12
